Version,Bundling/Dropping Time (ms),Energy (J)
acrylicPaintOriginal-GM2,1000,6.4121628871
acrylicPaintOriginal-GM2,1000,6.2844389223
acrylicPaintOriginal-GM2,1000,6.2170101199
acrylicPaintOriginal-GM2,1000,6.4456881019
acrylicPaintOriginal-GM2,1000,6.4842950532
acrylicPaintOriginal-GM2,1000,6.4176316172
acrylicPaintOriginal-GM2,1000,6.46678277
acrylicPaintOriginal-GM2,1000,6.4697830182
acrylicPaintOriginal-GM2,1000,6.1893117173
acrylicPaintOriginal-GM2,1000,6.2773743139
acrylicPaintOriginal-GM2,1000,6.3820127915
acrylicPaintOriginal-GM2,1000,6.3047327697
acrylicPaintOriginal-GM2,1000,6.3420183945
acrylicPaintOriginal-GM2,1000,6.2663833423
acrylicPaintOriginal-GM2,1000,6.2724114544
acrylicPaintOriginal-GM2,1000,6.3871512034
acrylicPaintOriginal-GM2,1000,6.2633507
acrylicPaintOriginal-GM2,1000,6.2613095443
acrylicPaintOriginal-GM2,1000,6.1598256741
acrylicPaintOriginal-GM2,1000,6.1560362906
acrylicPaintDropping-GM2,1000,5.2319150071
acrylicPaintDropping-GM2,1000,5.4288904298
acrylicPaintDropping-GM2,1000,5.3450846224
acrylicPaintDropping-GM2,1000,5.0973150965
acrylicPaintDropping-GM2,1000,5.3946061463
acrylicPaintDropping-GM2,1000,5.1211987645
acrylicPaintDropping-GM2,1000,5.5208744446
acrylicPaintDropping-GM2,1000,5.1867824811
acrylicPaintDropping-GM2,1000,5.3704847401
acrylicPaintDropping-GM2,1000,5.3727799336
acrylicPaintDropping-GM2,1000,5.2357444121
acrylicPaintDropping-GM2,1000,5.2664321342
acrylicPaintDropping-GM2,1000,5.0917993308
